id,Target
74249,0.5
35779,0.5
66769,0.5
27888,0.5
63306,0.5
33343,0.5
13069,0.5
62360,0.5
56443,0.5
29423,0.5
24702,0.5
67816,0.5
51270,0.5
11525,0.5
66121,0.5
10296,0.5
66828,0.5
28209,0.5
14489,0.5
3711,0.5
61376,0.5
83321,0.5
44099,0.5
71749,0.5
89324,0.5
28039,0.5
76879,0.5
69061,0.5
60067,0.5
13,0.5
56475,0.5
13860,0.5
27866,0.5
76809,0.5
10729,0.5
82110,0.5
50537,0.5
42798,0.5
25630,0.5
72334,0.5
30698,0.5
84724,0.5
59451,0.5
5764,0.5
59192,0.5
16175,0.5
51320,0.5
18799,0.5
72659,0.5
64230,0.5
25942,0.5
86123,0.5
75825,0.5
28495,0.5
1518,0.5
23747,0.5
39041,0.5
5878,0.5
55433,0.5
1519,0.5
83935,0.5
84838,0.5
79049,0.5
12549,0.5
69320,0.5
49213,0.5
48566,0.5
89165,0.5
13334,0.5
71545,0.5
66015,0.5
31327,0.5
30652,0.5
57325,0.5
33196,0.5
29450,0.5
33328,0.5
72149,0.5
83135,0.5
3691,0.5
52680,0.5
1396,0.5
198,0.5
89749,0.5
83084,0.5
23910,0.5
2681,0.5
59652,0.5
58086,0.5
1310,0.5
34794,0.5
19331,0.5
25928,0.5
86296,0.5
44481,0.5
85212,0.5
9634,0.5
10543,0.5
60860,0.5
248,0.5
24114,0.5
5017,0.5
75842,0.5
85024,0.5
4348,0.5
33096,0.5
47668,0.5
9802,0.5
82417,0.5
68759,0.5
62472,0.5
16903,0.5
85240,0.5
33914,0.5
9916,0.5
64098,0.5
67460,0.5
8174,0.5
78989,0.5
40616,0.5
38743,0.5
50602,0.5
5256,0.5
275,0.5
4918,0.5
66502,0.5
62147,0.5
65788,0.5
80558,0.5
35970,0.5
15484,0.5
45995,0.5
44586,0.5
81456,0.5
82933,0.5
22348,0.5
72381,0.5
21432,0.5
23500,0.5
44774,0.5
60203,0.5
2876,0.5
48033,0.5
81039,0.5
22860,0.5
48560,0.5
18310,0.5
884,0.5
7531,0.5
4372,0.5
45043,0.5
66552,0.5
11408,0.5
51470,0.5
35021,0.5
83100,0.5
46300,0.5
60339,0.5
26230,0.5
75012,0.5
82398,0.5
49166,0.5
52461,0.5
17994,0.5
10474,0.5
4708,0.5
64826,0.5
47873,0.5
60625,0.5
13098,0.5
55115,0.5
17874,0.5
40652,0.5
70264,0.5
19659,0.5
12500,0.5
88147,0.5
34613,0.5
49078,0.5
18110,0.5
82543,0.5
3280,0.5
9701,0.5
17581,0.5
56184,0.5
80326,0.5
62362,0.5
82123,0.5
68996,0.5
48111,0.5
11069,0.5
10647,0.5
34729,0.5
23214,0.5
78097,0.5
57488,0.5
60772,0.5
53959,0.5
20614,0.5
41811,0.5
12796,0.5
21156,0.5
8949,0.5
68873,0.5
40329,0.5
61250,0.5
72738,0.5
4507,0.5
50079,0.5
50966,0.5
53154,0.5
42574,0.5
62118,0.5
20882,0.5
35751,0.5
516,0.5
60061,0.5
80196,0.5
3396,0.5
48155,0.5
41450,0.5
10201,0.5
61790,0.5
51164,0.5
63593,0.5
36148,0.5
50316,0.5
31798,0.5
1524,0.5
77060,0.5
